id,Text,ZiChen,Basim,Alex,Final Labels
0,London as always is blue! 😎💙,OTHER,OTHER,PERS,OTHER
1,She hates us lmao,PERS,PERS,PERS,PERS
2,Finally scheduled for my second vaccine dose... on FRIDAY THE 13TH!! 💉😱🤣,PERS,PERS,PERS,PERS
3,This album taught me less is more,ENT,ENT,ENT,ENT
4,Watched Kemono Jihen yesterday and finished s1 today — quite interesting. Off to know what’s next with reading the manga hehe,ENT,ENT,ENT,ENT
5,Lmao okay??? The deceased’s 2 gfs are having one more showdown to the death.,PERS,PERS,ENT,PERS
6,Congrats,OTHER,OTHER,OTHER,OTHER
7,i am not sure if straight people actually exist .,PERS,SOC,SOC,SOC
8,Remember. Positive vibes only!! WE WANT SAAKK S2,ENT,ENT,ENT,ENT
9,i love olivia but… EMO??? when WILLOW SMITH IS RIGHT THERE ????,ENT,ENT,ENT,ENT
10,Good news for a change.,PERS,OTHER,PERS,PERS
11,"381 km , no accidents ,no nothing, I thank God.",PERS,PERS,PERS,PERS
12,Goodnight 💜,OTHER,PERS,PERS,PERS
13,It’s been so long since i was in school. How i do this financial aid shit again?,PERS,PERS,PERS,PERS
14,obviously this is about tigrex.,ENT,ENT,ENT,ENT
15,happy gf day to all the sapphics that don’t have a girlfriend &lt;3 - 🪁,PERS,SOC,PERS,PERS
16,I got no problem with stanton getting the day off. He’s lost,SPORT,PERS,SPORT,SPORT
17,you're mother,OTHER,OTHER,OTHER,OTHER
18,Why in the hell is Rusty here,OTHER,PERS,OTHER,OTHER
19,The devil has been working hard lately but God always working harder.,PERS,SOC,PERS,PERS
20,911 I’d like to report a crime,PERS,PERS,PERS,PERS
21,it’s fun to lose and to pretend,ENT,OTHER,PERS,OTHER
22,Yooooooo double digits on the bird app,PERS,ENT,PERS,PERS
23,Yes Olivia! Don’t play with her. Lol,PERS,PERS,ENT,PERS
24,SAG represents NPR and all of the various APM unions as well,SOC,SOC,SOC,SOC
25,Bones Hyland will win rookie of the year,SPORT,SPORT,SPORT,SPORT
26,But forgetting is a harder fight~~,PERS,OTHER,PERS,PERS
27,"August, please be good to me! 🙏🏾",PERS,PERS,PERS,PERS
28,"Impressive, and a giant vacuum cleaner potentially undercutting the NRSC and other GOP-aligned orgs.",SOC,SOC,SOC,SOC
29,"God, please hug me. :')",PERS,PERS,PERS,PERS
30,Reactivated my account - DM for videos 🦶🏻,OTHER,ENT,ENT,ENT
31,That makes me happier than you'll ever know.,PERS,PERS,PERS,PERS
32,stream ITZYYYYY,ENT,ENT,ENT,ENT
33,I'm 53 kg. I often feel embarrassed because my training is lacking...,PERS,PERS,PERS,PERS
34,nas my dad,ENT,ENT,ENT,ENT
35,dancing around your room to music and not giving a fuck is one of the ultimate forms of self care.,PERS,PERS,PERS,PERS
36,Exited to see Kris Bryant take the field today 🟧⬛️,SPORT,ENT,SPORT,SPORT
37,How stupid do you have to be to send more money to a crook???,PERS,PERS,OTHER,PERS
38,I stay with the came like Ron Isley,ENT,ENT,ENT,ENT
39,Birthday boy!!!!!,PERS,OTHER,PERS,PERS
40,This!,OTHER,OTHER,OTHER,OTHER
41,happy bday a mi wawi,PERS,PERS,PERS,PERS
42,first option was the weeknd😭,ENT,PERS,ENT,ENT
43,Holy crap. This was a choice.,PERS,PERS,OTHER,PERS
44,booty up - caio Luccas,ENT,ENT,ENT,ENT
45,This is giving season 2 Malin vs Terry,ENT,ENT,ENT,ENT
46,Happy august everyone :),PERS,PERS,PERS,PERS
47,Nketiah was seriously balling tho icl,SPORT,SPORTS,SPORT,SPORT
48,header&lt;3,OTHER,OTHER,OTHER,OTHER
49,He make beans pass.,OTHER,OTHER,OTHER,OTHER
50,iHealth Radio - The Fit and The Fab Drop Intro Coming up next,ENT,ENT,ENT,ENT
51,Wow! Geese enjoying flight.,PERS,OTHER,PERS,PERS
52,Y’all just going to act like you didn’t see the pass from Christian Pulisic tho.,SPORT,SPORTS,SPORT,SPORT
53,That’s my ride or die 4L ♥️,PERS,PERS,PERS,PERS
54,"I'm jealous of other people's relationship, just give me Tommy😭",PERS,PERS,PERS,PERS
55,DO THEM FUCKING BITCHES KNOW THAT?🗣,PERS,ENT,OTHER,OTHER
56,ah I knew this was coming 🤣❤️ Spot on 👑,PERS,PERS,OTHER,PERS
57,My waiter is high affffff🤣🤣. I don’t think it’s weed either,PERS,PERS,PERS,PERS
58,Any intelectual,OTHER,OTHER,OTHER,OTHER
59,Pussy is STILL mental and emotional support letsssssss not forget that though 😂,PERS,PERS,PERS,PERS
60,Cellphone battery towers,OTHER,OTHER,OTHER,OTHER
61,We've had growth and now we are able to look at life through new eyes.,PERS,PERS,PERS,PERS
62,Oml i miss jjk so much🥺😣😣😭😭💕💕 thank you for this gege. Please keep them happy please pleaseee,ENT,ENT,ENT,ENT
63,Or apt for that matter,OTHER,OTHER,OTHER,OTHER
64,going to see a dress rehearsal for Wicked !!,ENT,ENT,PERS,ENT
65,"nooo not the ""since she's the only one w a social life I believe"" 😭😭",PERS,PERS,OTHER,PERS
66,I just find out blackpick will be on Weverse august 2 noon Maybe 12pm,ENT,ENT,ENT,ENT
67,Love it!,OTHER,OTHER,OTHER,OTHER
68,"soon I will update the art shop a little bit. gotta change some things, make some room for greatness, and just feel the vibes.",PERS,PERS,PERS,PERS
69,I am glad I have jaehyuk as one of my biases.. Please.. Yedam and Asahi just....😭,ENT,ENT,ENT,ENT
70,sunric my beloved thanks for the updates tonight 🤩✨,ENT,PERS,OTHER,OTHER
71,It’s funny because I also had 11 shows planned for last year,PERS,PERS,ENT,PERS
72,I been putting actual effort in to my looks for the past 3 days and I'm already exhausted idk how influencers do it,PERS,PERS,PERS,PERS
73,my gender is small victorian boy who is just now getting the hang of the twenty-first century,PERS,PERS,SOC,PERS
74,NOELLE FUCKING CONFESSION TO HERSELF,ENT,OTHER,OTHER,OTHER
75,"Joseline and that show is a mess, but she knew what she was doing with that song because it’s so catchy. 🥴😂",ENT,ENT,ENT,ENT
76,Ppl only care about themselves and it shows,PERS,PERS,PERS,PERS
77,What the fuck,OTHER,OTHER,OTHER,OTHER
78,He looks so good in blonde 😩😩😭,PERS,PERS,ENT,PERS
79,Guys... There's college football this month!,SPORT,SPORTS,SPORT,SPORT
80,Old scottie snipes needs a chance😀,OTHER,ENT,OTHER,OTHER
81,I stand in the back and don’t say shit.,PERS,PERS,PERS,PERS
82,"It’s the middle of the summer , i got my hoodie on",PERS,PERS,PERS,PERS
83,Why does no one steal my tweets am I that boring omg 😞,PERS,PERS,PERS,PERS
84,𓂋 happy mark lee day ♡ i'm happy just to see you happy. I will always be here for you.,ENT,PERS,PERS,PERS
85,if they really wanted u they would teleport 😞,PERS,PERS,PERS,PERS
86,well deserved 👏🏼💙,PERS,OTHER,OTHER,OTHER
87,"I'm talking about how career oriented and goal focused she is, but yes also other things as well lmao",PERS,PERS,OTHER,PERS
88,see i was gonna read the song of achilles but the cover is so ugly it’s making me not want to buy it,PERS,ENT,ENT,ENT
89,sometimes people have evil intentions,PERS,PERS,PERS,PERS
90,I look Like ranboo omds,ENT,PERS,ENT,ENT
91,I know belichick was pissed after that L,SPORT,SPORTS,SPORT,SPORT
92,Amazing news!! These movies rule.,ENT,ENT,ENT,ENT
93,Chillar- to scream (in pain or fear),PERS,OTHER,OTHER,OTHER
94,I really don’t give a good god damn what Susan “very concerned” Collins thinks. Do you?,SOC,PERS,PERS,PERS
95,If you miss ya wave that’s on you… ain’t no U-TURNS!🔃,PERS,PERS,PERS,PERS
96,Yikes on bikes,PERS,OTHER,OTHER,OTHER
97,They the opps for life 🥴,PERS,PERS,PERS,PERS
98,just saw oomf's pinned and now i am struggling to breathe 😩😩,PERS,PERS,ENT,PERS
99,lovelyz,OTHER,OTHER,OTHER,OTHER
100,She should expect me to cook and know how to handle kids 😌,PERS,PERS,PERS,PERS
101,the way i cant stop watching this,PERS,PERS,ENT,PERS
102,No unnecessary spending in august,PERS,PERS,PERS,PERS
103,light of my life,PERS,PERS,PERS,PERS
104,pspsps boyfriends please pspsps girlfriends please,PERS,PERS,PERS,PERS
105,my fave clip on the internet right now,PERS,PERS,ENT,PERS
106,Things are definitely going back to normal. Sunday afternoon band practice has resumed at the halls next door 🥁,PERS,PERS,PERS,PERS
107,first media jancok,PERS,ENT,OTHER,OTHER
108,I agree but I think we already are living at a lower standard ie smaller paychecks,PERS,PERS,SOC,PERS
109,I said on priv that Good Guy vs Knobhead was an interesting championship battle but I miss Good Guy vs Good Guy bring back Sewis,SPORT,ENT,ENT,ENT
110,don’t waste the time i don’t have,PERS,PERS,PERS,PERS
111,276800 Complete :276824-8/1/2021-R60-43C-2 Availability CheckAverage Empty Length 447&lt;br /&gt;Efficiency 73.39%&lt;br /&gt;,PERS,OTHER,OTHER,OTHER
112,why me babying men 13 years older than me😌,PERS,PERS,PERS,PERS
113,How bout we build the moon together?,PERS,PERS,PERS,PERS
114,Something Neo cannot do no matter how they convince him,PERS,ENT,ENT,ENT
115,One hand neck …. One hand on frontal,PERS,OTHER,PERS,PERS
116,All you saying is women are hoes shordy 😂😂😂😂 like wtf,PERS,PERS,PERS,PERS
117,This girl had a pic of her hand saying I wear a ring on my finger so guys will leave me alone,PERS,PERS,PERS,PERS
118,my friends r so egg 😭😭😭,PERS,PERS,PERS,PERS
119,"The Ounce is: 1814.80 $ at :Sunday, August 01, 2021 8:06:10 PM (GMT 4)",PERS,OTHER,OTHER,OTHER
120,God its me,PERS,PERS,PERS,PERS
121,Inspirational.,PERS,OTHER,OTHER,OTHER
122,Can’t believe I don’t travel for a living😭😭 what’s this like I’m coming back to,PERS,PERS,PERS,PERS
123,can’t wait to say woozi being forced to do nothing sjsklqanne,ENT,PERS,PERS,PERS
124,fuck off dni,PERS,OTHER,OTHER,OTHER
125,I just told the waitress “you too” after she said “enjoy your food” I’m finna leave 💀💀,PERS,PERS,PERS,PERS
126,Dwan,OTHER,OTHER,OTHER,OTHER
127,I really love everybody in my life that go hard for me .. I’ll go against a army behind mine,PERS,PERS,PERS,PERS
128,I fix me because sometimes I was the problem.,PERS,PERS,PERS,PERS
129,Lob 7? Ifb (ask for fb if you’re already following me),PERS,PERS,ENT,PERS
130,my baby made me the best breakfast sandwich this morning 😩 we be at work making anything,PERS,PERS,PERS,PERS
131,Let's keep the triple digit sends rolling in. It's what I like to see in the beginning of every month.,PERS,PERS,OTHER,PERS
132,"“the church is homophobic” the in-game pope is fucking gay, my man",PERS,PERS,ENT,PERS
133,Why do cats decide to be energetic at 4am lol,PERS,PERS,PERS,PERS
134,"Shadows all over my heart got nobody to trust, All I've ever wanted was just to be loved",PERS,PERS,PERS,PERS
135,Lmao did they actually think trump would pay a dime to Rudy,SOC,SOC,SOC,SOC
136,Chatime,OTHER,OTHER,OTHER,OTHER
137,I’m always here for you🤍,PERS,PERS,PERS,PERS
138,happy girlfriends day to every woman with a crush on me,PERS,PERS,PERS,PERS
139,⠀ ⠀ . . . she will refrain from making any further comments . ⠀,PERS,OTHER,OTHER,OTHER
140,I just unpacked a box from when I moved. I’ve lived her for like 9 months. Lmao. I can’t wait to move again,PERS,PERS,PERS,PERS
141,"brb im running to the toy store to buy a giant ass teddy bear for my gm, y’all want anything?",PERS,PERS,PERS,PERS
142,every day happy er.,PERS,OTHER,OTHER,OTHER
143,I wake up late and ocon wins what to heck,PERS,SPORTS,SPORT,SPORT
144,im about to play that beat saber vr game for the first time🥶,ENT,ENT,ENT,ENT
145,Gen Z was a mistake.,PERS,PERS,SOC,PERS
146,I’ve been working extremely hard last month my vacation starts tomorrow. 🙃🙃🙃,PERS,PERS,PERS,PERS
147,"The maid didn't let anyone see her for the rest of the evening, not lady Alcina Dimitrescu or Mother Miranda",ENT,ENT,PERS,ENT
148,"Interesting, wonder if this will lead to a general crackdown on pop stars, seems to be the trend these days….",PERS,PERS,ENT,PERS
149,Wooow so nobody wants me,PERS,PERS,PERS,PERS
150,Getting all these free/discount emails for my birthday month 😹,PERS,PERS,PERS,PERS
151,Jury duty is all about putting someone else's life in your hands for about $12 a day,SOC,PERS,SOC,SOC
152,Improvise adapt and overcome.,PERS,PERS,OTHER,PERS
153,Why do I look mad in so many of my photos,PERS,PERS,PERS,PERS
154,speechless bgttt liat ig story arif muhamad😶😶😶,PERS,ENT,OTHER,ENT
155,Ok logout chesthunna Bye see y'all soon ❤ Take care,PERS,PERS,PERS,PERS
156,I’m gonna cry,PERS,PERS,PERS,PERS
157,posting pics of my bitch looking BAD,PERS,PERS,PERS,PERS
158,“Very hung~”,PERS,OTHER,OTHER,OTHER
159,"oh captain, my captian",PERS,OTHER,OTHER,OTHER
160,lmaooo i just posted all my homegirls today,PERS,PERS,PERS,PERS
161,IM WEAK FOR THIS SUNWOO 😭😭😭,ENT,ENT,ENT,ENT
162,And then Mathoho kicks the ball out while there’s no pressure on him 💀,SPORT,SPORT,SPORT,SPORT
163,Here we go again,PERS,OTHER,OTHER,OTHER
164,Night 🌝,OTHER,OTHER,OTHER,OTHER
165,replacing every,PERS,OTHER,OTHER,OTHER
166,This is the second time. Even on Chiefs' corner. He was inside 😂😂,SPORT,SPORT,SPORT,SPORT
167,i hate it when i cant be happy.,PERS,PERS,PERS,PERS
168,Finding simplicity and yet avoiding clichés are way harder than you think it is,PERS,PERS,OTHER,PERS
169,Americans trying to claim Lamont Jacobs is just the saddest shit.,PERS,ENT,SPORT,SPORT
170,such a cool model babie sunwoo🥰♥️,ENT,PERS,ENT,ENT
171,Any ladies wanna try with me?,PERS,PERS,PERS,PERS
172,I catch about 60 attitudes a day 🤣🤣🤣🤣🤣🤣,PERS,PERS,PERS,PERS
173,See a bitch like me would’ve flipped da question like “what u think it abt 🤔” or said sumn abt cars,PERS,PERS,PERS,PERS
174,GEORGE 🥺,OTHER,OTHER,OTHER,OTHER
175,"Life is too short to be living in some boring ass location because the cost of living is cheaper, you get what you pay for",PERS,PERS,PERS,PERS
176,chatime,OTHER,OTHER,OTHER,OTHER
177,HELP,OTHER,OTHER,OTHER,OTHER
178,i know the love be fake but as long as the respect real we good!,PERS,PERS,PERS,PERS
179,Led lights are ugly,PERS,PERS,PERS,PERS
180,"wait i have classes tmrw, and ive been out the whole day so i kinda rested for a bit … i havent studied anything fuuck shud i go study",PERS,PERS,PERS,PERS
181,Lauren and Cam🥺,PERS,OTHER,OTHER,OTHER
182,When I was losing I was still smiling I knew I was gone get it back,PERS,PERS,PERS,PERS
183,Viva la Sebastian Vettel. Showing up the problems in Formula One.,SPORT,SPORT,SPORT,SPORT
184,SFTH &gt; Wattpad &gt; webtoon,ENT,OTHER,OTHER,OTHER
185,5 months celibacy ends today i gotta feel smth.,PERS,PERS,PERS,PERS
186,Co signed ... Champions of Europe TWICE,SPORT,SPORT,SPORT,SPORT
187,Jing,OTHER,OTHER,OTHER,OTHER
188,namjoon with his 3 hyungs and 3 lil dongsaengs fooling around is the cutest ^^,ENT,ENT,ENT,ENT
189,PERFECT 😂,OTHER,SPORT,OTHER,OTHER
190,How do i stop shaking in endgames,SPORT,ENT,ENT,ENT
191,told ha she a 10 let me pop you like perky,PERS,PERS,ENT,PERS
192,THANK YOU,OTHER,OTHER,OTHER,OTHER
193,Hate being hungover🤦🏻‍♀️ n i gotta work.. pray for me yall,PERS,PERS,PERS,PERS
194,I swear even with this fucked up wrist I need that fade from a few bitch niggas. I'll prove em a bitch. Frfr,PERS,PERS,PERS,PERS
195,Yesterday at midnight.,PERS,OTHER,OTHER,OTHER
196,If there’s one thing you can count on people here for these days? It’s disappointment. Never seems to fail.,PERS,PERS,PERS,PERS
197,me ayling and imen are going going through it really,SPORT,PERS,PERS,PERS
198,Oh man poor turkey as if 2021 can't any more dangerous,PERS,PERS,SOC,PERS
199,The way housemate are nominating Jaypaul and Liquorose as wildcards instead of Maria and Pere🙌😢,PERS,ENT,ENT,ENT
200,im exhausted,PERS,PERS,PERS,PERS
201,"eyebrow piercing …, let me just burn",PERS,OTHER,PERS,PERS
202,I think I'm too impatient to own a 3D Printer.,PERS,PERS,PERS,PERS
203,HAVE I KNOWN YOU 20 SECONDS OR 20 YEARSS,PERS,PERS,PERS,PERS
204,Who gone look out fa 22 now smh,PERS,PERS,OTHER,PERS
205,I just lost myself.,PERS,PERS,PERS,PERS
206,🌥️ tnc &amp; snk,PERS,OTHER,OTHER,OTHER
207,DROP IS AT 8pm est,PERS,OTHER,ENT,OTHER
208,Bleached my hair without gloves… Big mistake,PERS,PERS,PERS,PERS
209,Our new Nation is going to be the bestest ever-ah,SOC,SOC,PERS,SOC
210,Favourite food to grill? I'm going to have to go with a good homemade burger patty or butcher shop sausages.,PERS,PERS,PERS,PERS
211,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 look here nuh!,PERS,OTHER,OTHER,OTHER
212,Don't snatch our show RETAIN ISHKPARZORNAHI,ENT,ENT,ENT,ENT
213,You people should let Arin drink water and drop cup. Is Boma a baby? Ahan,PERS,PERS,OTHER,PERS
214,idk who tho lmao just a nigga,PERS,OTHER,PERS,PERS
215,how tf do i even use it,PERS,OTHER,PERS,PERS
216,MOVIE HEADER PO🤗❤,ENT,OTHER,ENT,ENT
217,Baked macaroni at 12 md,PERS,OTHER,PERS,PERS
218,MORK DAYYYY,ENT,OTHER,OTHER,OTHER
219,Thyme and Cornyn both need to go. Herschel needs to run and will win. Don’t listen to these lifetime time losers.,SOC,ENT,SPORT,SOC
220,"""im not a religious person, but i do think sometimes god made you for me marianne"" SHUT THE FUCK UP SOBS😭😭😭😭😭😭😭",PERS,PERS,PERS,PERS
221,better wages and working conditions for everyone involved in making a show,SOC,ENT,SOC,SOC
222,Learning about AQI,SOC,OTHER,SOC,SOC
223,But please say something if I’m wrong,PERS,OTHER,PERS,PERS
224,Your outfits are always fire. every time I see you 😭,PERS,PERS,ENT,PERS
225,Niggas making me promise them if they can have some of me,PERS,PERS,PERS,PERS
226,ill have to keep keqing in the basement for a long time i fear,ENT,PERS,PERS,PERS
227,OH MY GOD 5UP,PERS,OTHER,PERS,PERS
228,Phyllis the funniest person on the office. LMFAO,ENT,PERS,ENT,ENT
229,Am I crushing on my tattoo artist?,PERS,PERS,PERS,PERS
230,Niggas be lying and yellljn in ya face 😭😭😭,PERS,PERS,PERS,PERS
231,Yeah like Inter will buy him now😂 utter trash,SPORT,SPORT,OTHER,SPORT
232,"""ريحتج حلوه"". will always be my fav complement.",PERS,PERS,PERS,PERS
233,It’s 1st first of the month 🎶,PERS,ENT,PERS,PERS
234,Outerbanks s02 is so good,ENT,ENT,ENT,ENT
235,Them nuggets def underwhelmed.,PERS,OTHER,SPORT,SPORT
236,Most of these ‘F1 fan’s’ moaning about potential ‘dark arts’ clearly didn’t watch a lot of F1 from 1980-2000 😂😂😂,SPORT,SPORT,SPORT,SPORT
237,I just want to feel ya 🤭,PERS,PERS,PERS,PERS
238,I don't understand de picture but lest go foosh,PERS,PERS,OTHER,PERS
239,The Virgo in me is not letting up on the overthinking..,PERS,PERS,PERS,PERS
240,This sounds like a seasonal plotline that would’ve been on Oz lol,ENT,ENT,ENT,ENT
241,i was subbed to generation loss before 3k💪,PERS,PERS,ENT,PERS
242,i hate when ppl call my phone early af like have some respect,PERS,PERS,PERS,PERS
243,Did anyone else have a very strong reaction to the car chase scene in 101 dalmatians?,ENT,ENT,ENT,ENT
244,I need some friend on here🙄,PERS,PERS,PERS,PERS
245,i love u so much 🥺,PERS,PERS,PERS,PERS
246,"[Major Delays] Red Line service is resuming its normal routing, via the subway, btwn Fullerton &amp; Cermak-Chinatown after an earlier reroute.",SOC,OTHER,PERS,SOC
247,four hours of genshin……,ENT,ENT,ENT,ENT
248,Tems x Mr Rebel 🎶 🎧 ❤️,PERS,ENT,ENT,ENT
249,I need buju to change the National anthem. Bella Smurdda can take the second stanza.,PERS,ENT,ENT,ENT